# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "6" "-s" "2" "-a" "downloads/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "counts/counts.txt" "hisat2/control_ribo_rep1_sorted_markdup_filt.bam" 
Geneid	Chr	Start	End	Strand	Length	hisat2/control_ribo_rep1_sorted_markdup_filt.bam
YDR451C	IV	1361120	1362181	-	1062	294
YDR469W	IV	1399015	1399542	+	528	894
YDR470C	IV	1399706	1401214	-	1509	1108
YDR105C	IV	665349	666770	-	1422	1354
YDR483W	IV	1421157	1422485	+	1329	7850
YDL123W	IV	241418	241840	+	423	517
YDL199C	IV	101290	103353	-	2064	876
YDR505C	IV	1456695	1459220	-	2526	4761
YDL045W-A	IV	372248	372535	+	288	538
YDL045C	IV	372688	373608	-	921	1360
YDR361C	IV	1195412	1196263	-	852	1873
YDR406W-A	IV	1283799	1284044	+	246	21
YDR199W	IV	854175	854540	+	366	0
YDR266C	IV	1000104	1002023	-	1920	2990
YDL242W	IV	18959	19312	+	354	9
YDR002W	IV	453045	453650	+	606	8412
YDR214W	IV	892875	893927	+	1053	6803
YDR130C	IV	715747	716622	-	876	598
YDL176W	IV	142097	144223	+	2127	998
YDR358W	IV	1190059	1191732	+	1674	2575
YDR544C	IV	1525095	1525523	-	429	0
YDR460W	IV	1383811	1384776	+	966	804
snR84	IV	1492477	1493026	-	550	8440
YDR034W-B	IV	521314	521469	+	156	462
YDL028C	IV	400997	403291	-	2295	2106
YDR061W	IV	574164	575783	+	1620	1793
YDR060W	IV	570649	573726	+	3078	7498
YDR169C-A	IV	794574	794723	-	150	6
YDR363W	IV	1199183	1200553	+	1371	1212
YDR422C	IV	1315326	1317773	-	2448	2604
YDR119W	IV	688227	690533	+	2307	3745
tR(ACG)D	IV	619969	620041	-	73	2
YDR097C	IV	640109	643837	-	3729	3520
YDR042C	IV	540601	541203	-	603	158
YDL160C	IV	170410	171930	-	1521	7482
YDR425W	IV	1320064	1321941	+	1878	1268
snR13	IV	1402919	1403042	+	124	616
YDR228C	IV	921926	923806	-	1881	1193
YDR319C	IV	1105003	1105827	-	825	586
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	8583
YDR089W	IV	622112	624721	+	2610	2688
tD(GUC)D	IV	568964	569035	+	72	1
YDR275W	IV	1012252	1012959	+	708	628
YDR043C	IV	542674	543369	-	696	836
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	14822
YDR136C	IV	727711	728283	-	573	18
YDL066W	IV	334835	336121	+	1287	7864
YDR302W	IV	1067731	1068390	+	660	502
YDR239C	IV	941057	943420	-	2364	1471
YDR539W	IV	1512094	1513605	+	1512	1696
tK(CUU)D1	IV	1201750	1201822	+	73	2
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	3746
YDR493W	IV	1436217	1436588	+	372	407
YDR101C	IV	655686	657467	-	1782	4942
YDR182W-A	IV	829151	829354	+	204	29
YDR212W	IV	887232	888911	+	1680	9255
YDR476C	IV	1410453	1411127	-	675	992
YDL131W	IV	227393	228715	+	1323	3727
YDR458C	IV	1380055	1382046	-	1992	1840
YDR081C	IV	607304	610081	-	2778	2022
YDL071C	IV	330666	331040	-	375	16
YDR113C	IV	680496	681617	-	1122	660
YDR168W	IV	790328	791848	+	1521	4248
YDR520C	IV	1481085	1483403	-	2319	848
YDR307W	IV	1075865	1077853	+	1989	1357
YDR265W	IV	998864	999877	+	1014	925
YDL076C	IV	320668	321552	-	885	1375
YDL006W	IV	439909	440754	+	846	792
YDL086W	IV	301413	302234	+	822	2622
YDR238C	IV	937895	940816	-	2922	14847
YDR077W	IV	600793	601809	+	1017	67691
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	419
YDL023C	IV	411761	412081	-	321	13
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	11573
YDR036C	IV	523211	524713	-	1503	2002
YDR057W	IV	565927	567555	+	1629	1580
YDR513W	IV	1471017	1471448	+	432	2354
YDR487C	IV	1428354	1428980	-	627	3885
YDR066C	IV	581908	582498	-	591	257
YDR352W	IV	1181801	1182754	+	954	971
YDR278C	IV	1017001	1017318	-	318	1
YDR079C-A	IV	603593	603811	-	219	208
YDR204W	IV	858137	859144	+	1008	1715
YDL247W-A	IV	3762	3836	+	75	5
YDL024C	IV	408451	409857	-	1407	384
tA(AGC)D	IV	410379	410451	+	73	0
YDR109C	IV	673520	675667	-	2148	1056
YDR466W	IV	1395121	1397817	+	2697	2718
YDR427W	IV	1322205	1323386	+	1182	4076
YDL044C	IV	373967	375289	-	1323	536
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	1375
YDR193W	IV	844554	844952	+	399	4
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	610
YDR377W	IV	1228611	1228916	+	306	1833
YDR219C	IV	905455	906852	-	1398	1407
YDR416W	IV	1298432	1301011	+	2580	1634
YDR365C	IV	1204497	1206383	-	1887	8980
YDL233W	IV	36797	38173	+	1377	1835
YDR287W	IV	1035995	1036873	+	879	1056
YDR448W	IV	1356065	1357369	+	1305	954
YDR180W	IV	821295	825776	+	4482	2133
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	4
tT(AGU)D	IV	434264	434336	-	73	0
YDR294C	IV	1050459	1052228	-	1770	5599
YDR198C	IV	852533	853972	-	1440	883
YDL163W	IV	166956	167258	+	303	2
YDL119C	IV	246689	247612	-	924	746
YDR501W	IV	1451353	1452918	+	1566	216
YDL214C	IV	74446	76545	-	2100	152
YDR264C	IV	996029	998323	-	2295	5201
YDR343C	IV	1159608	1161320	-	1713	5257
YDR373W	IV	1222759	1223331	+	573	1610
YDR354W	IV	1184747	1185889	+	1143	1924
YDR246W	IV	954288	954947	+	660	1331
YDR428C	IV	1323454	1324239	-	786	873
YDR157W	IV	769931	770332	+	402	210
YDR316W	IV	1093763	1095178	+	1416	771
YDL142C	IV	201719	202570	-	852	692
YDR253C	IV	963990	964565	-	576	107
YDL112W	IV	258915	263225	+	4311	6003
YDR545W	IV	1526321	1531711	+	5391	1
YDL187C	IV	125509	125838	-	330	44
YDL138W	IV	213351	215642	+	2292	811
YDR528W	IV	1494586	1495857	+	1272	197
YDR284C	IV	1030550	1031419	-	870	1504
YDR050C	IV	555726	556472	-	747	31113
YDL010W	IV	432330	433025	+	696	771
YDL065C	IV	336249	337277	-	1029	1189
YDR349C	IV	1172386	1174176	-	1791	4238
YDL098C	IV	284581	285165	-	585	490
YDL234C	IV	34237	36477	-	2241	14889
YDR118W	IV	685882	687840	+	1959	504
YDR118W-A	IV	687768	687884	+	117	11
YDR159W	IV	771877	775782	+	3906	2860
YDR111C	IV	678241	679764	-	1524	1147
YDR128W	IV	709549	712995	+	3447	3986
YDL034W	IV	391783	392127	+	345	2
YDR065W	IV	580687	581784	+	1098	712
YDL004W	IV	443029	443511	+	483	3087
YDR024W	IV	491017	491502	+	486	74
YDL171C	IV	149203	155640	-	6438	36648
YDR083W	IV	612073	613251	+	1179	1621
YDR457W	IV	1369790	1379596	+	9807	24431
YDR014W	IV	474046	475989	+	1944	846
YDR206W	IV	862054	864708	+	2655	2643
YDR478W	IV	1414575	1415171	+	597	432
YDR169C	IV	792348	793889	-	1542	2117
YDR115W	IV	682175	682492	+	318	610
YDL159W-A	IV	172182	172313	+	132	0
YDL232W	IV	38487	38597	+	111	405
YDL240C-A	IV	22471	22608	-	138	0
tE(CUC)D	IV	1017207	1017278	-	72	0
YDL152W	IV	182822	183187	+	366	2
YDR432W	IV	1328783	1330027	+	1245	7589
YDL022C-A	IV	409808	410056	-	249	11
YDL114W-A	IV	254935	255048	+	114	1
YDR410C	IV	1292372	1293091	-	720	529
YDR464C-A	IV	1392492	1392680	-	189	0
YDL072C	IV	329836	330447	-	612	5865
YDR053W	IV	560249	560644	+	396	2
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	1213
YDR482C	IV	1420431	1420838	-	408	645
YDL070W	IV	331024	332940	+	1917	8080
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	14071
YDL135C	IV	218680	219288	-	609	2236
YDL077C	IV	316971	320120	-	3150	2958
YDR354C-A	IV	1185139	1185282	-	144	2
YDL033C	IV	392659	393912	-	1254	798
YDL031W	IV	394217	397204	+	2988	5120
YDR398W	IV	1267471	1269402	+	1932	3591
YDR326C	IV	1120609	1124925	-	4317	6173
YDL052C	IV	362672	363583	-	912	2176
YDR536W	IV	1508005	1509714	+	1710	10
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	1703
YDL116W	IV	251566	253746	+	2181	3413
YDR028C	IV	497835	500879	-	3045	8790
YDL007W	IV	438047	439360	+	1314	5828
YDR236C	IV	935236	935892	-	657	779
YDR011W	IV	465919	470424	+	4506	13931
YDR155C	IV	768512	769000	-	489	9444
YDR414C	IV	1295598	1296686	-	1089	520
YDR026C	IV	492556	494268	-	1713	1450
YDL073W	IV	326613	329567	+	2955	1855
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	2
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	1261
YDL145C	IV	194571	198176	-	3606	23064
YDR203W	IV	857682	857999	+	318	10
YDL104C	IV	273653	274876	-	1224	341
YDL149W	IV	184925	187918	+	2994	1332
YDR231C	IV	926293	926910	-	618	1005
YDR045C	IV	547978	548310	-	333	618
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	10547
YDR415C	IV	1297037	1298161	-	1125	1065
YDR339C	IV	1149951	1150520	-	570	1624
YDL213C	IV	77289	77966	-	678	1819
YDR096W	IV	637139	639823	+	2685	4728
YDL019C	IV	417663	421514	-	3852	6283
YDL022W	IV	411825	413000	+	1176	9101
YDR413C	IV	1294836	1295411	-	576	18
YDR391C	IV	1257358	1258056	-	699	2043
YDR091C	IV	626708	628534	-	1827	6806
YDR240C	IV	943674	945152	-	1479	736
YDL244W	IV	16204	17226	+	1023	66
YDR179C	IV	818708	819196	-	489	245
YDL165W	IV	164290	164865	+	576	1049
YDL140C	IV	205360	210561	-	5202	23221
YDR120C	IV	691549	693261	-	1713	2880
YDR003W	IV	454122	454754	+	633	1257
YDR499W	IV	1447830	1450073	+	2244	841
YDR166C	IV	786306	789221	-	2916	2558
YDL092W	IV	292781	293221	+	441	1510
YDL041W	IV	378102	378455	+	354	2
YDL241W	IV	20635	21006	+	372	565
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	12634
YDR277C	IV	1014401	1015702	-	1302	5531
YDR291W	IV	1039728	1042961	+	3234	2444
YDR475C	IV	1407464	1410094	-	2631	3680
YDR244W	IV	950563	952401	+	1839	1616
YDR407C	IV	1284069	1287938	-	3870	3678
YDR382W	IV	1239492	1239824	+	333	10268
YDR102C	IV	657648	657980	-	333	7
YDL188C	IV	123865	124998	-	1134	1908
YDR405W	IV	1277646	1278437	+	792	1254
YDR443C	IV	1345676	1349938	-	4263	3540
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	844
YDR144C	IV	744311	746101	-	1791	2630
YDL157C	IV	174232	174588	-	357	1247
YDL058W	IV	345665	351037	+	5373	7774
YDL096C	IV	286998	287324	-	327	9
YDL155W	IV	176773	178056	+	1284	1393
YDR147W	IV	751631	753235	+	1605	681
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	2617
YDL128W	IV	232652	233887	+	1236	2619
YDR310C	IV	1081128	1084316	-	3189	4228
YDL160C-A	IV	169366	169608	-	243	281
YDR127W	IV	704484	709250	+	4767	27148
YDR497C	IV	1443713	1445467	-	1755	11782
YDL162C	IV	167359	167715	-	357	2
tS(AGA)D3	IV	1305630	1305712	+	83	2
YDR201W	IV	856317	856814	+	498	393
YDR163W	IV	781423	781950	+	528	494
YDL146W	IV	192750	194225	+	1476	1080
YDR363W-A	IV	1202128	1202397	+	270	1332
YDL221W	IV	62011	62562	+	552	50
YDL089W	IV	296820	298274	+	1455	817
YDR385W	IV	1243230	1245758	+	2529	19629
YDR331W	IV	1129588	1130823	+	1236	1315
YDR196C	IV	850274	850999	-	726	1190
YDR116C	IV	682724	683581	-	858	1476
YDR001C	IV	450220	452475	-	2256	11101
YDL230W	IV	42700	43707	+	1008	911
YDR160W	IV	776163	778721	+	2559	1351
YDR123C	IV	698554	699468	-	915	1396
YDR322W	IV	1110589	1111692	+	1104	1345
YDR040C	IV	535192	538467	-	3276	490
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	12917
YDR046C	IV	548762	550576	-	1815	8187
YDL057W	IV	351434	352420	+	987	639
YDL248W	IV	1802	2953	+	1152	696
YDR008C	IV	462252	462602	-	351	7
YDR029W	IV	501100	501414	+	315	7
YDR485C	IV	1424820	1427207	-	2388	2139
YDR408C	IV	1288215	1288859	-	645	1861
YDR038C	IV	527422	530697	-	3276	353
YDL204W	IV	94605	95786	+	1182	2462
YDR019C	IV	484163	485365	-	1203	4555
YDR477W	IV	1412373	1414274	+	1902	3384
YDR254W	IV	965113	966489	+	1377	372
YDR514C	IV	1471548	1472999	-	1452	665
YDR296W	IV	1055212	1055892	+	681	1227
YDL216C	IV	68997	70319	-	1323	668
YDL100C	IV	282112	283176	-	1065	9208
YDL068W	IV	333500	333829	+	330	10
YDL026W	IV	404749	405060	+	312	12
YDL124W	IV	240259	241197	+	939	12289
YDL227C	IV	46271	48031	-	1761	451
YDL111C	IV	263313	264110	-	798	1975
YDR324C	IV	1114433	1116763	-	2331	3546
YDL170W	IV	156318	157904	+	1587	954
YDR317W	IV	1102184	1103428	+	1245	188
YDR436W	IV	1334821	1336953	+	2133	2043
YDR208W	IV	868224	870563	+	2340	4217
YDR386W	IV	1246084	1247982	+	1899	641
YDR504C	IV	1456311	1456694	-	384	116
YDL220C	IV	62244	65018	-	2775	1094
YDR396W	IV	1266295	1266795	+	501	6
YDR258C	IV	971808	974243	-	2436	5610
YDR176W	IV	814452	816560	+	2109	2340
YDL099W	IV	283419	284444	+	1026	1789
YDR380W	IV	1234218	1236125	+	1908	5403
YDL110C	IV	264512	264964	-	453	1553
YDR148C	IV	753675	755066	-	1392	3593
YDL201W	IV	99561	100421	+	861	2275
YDL107W	IV	268921	269976	+	1056	626
YDR515W	IV	1473429	1474772	+	1344	635
YDR133C	IV	720962	721297	-	336	3756
YDR378C	IV	1229349	1229609	-	261	858
YDR473C	IV	1404445	1405854	-	1410	906
YDR403W	IV	1274602	1276212	+	1611	206
YDR268W	IV	1004004	1005143	+	1140	978
YDR409W	IV	1289406	1292120	+	2715	1457
YDR173C	IV	810565	811632	-	1068	437
YDR187C	IV	836228	836746	-	519	8
YDR389W	IV	1252537	1254501	+	1965	3075
YDR417C	IV	1301555	1301926	-	372	43
YDR165W	IV	784871	786205	+	1335	2471
YDL113C	IV	256633	258555	-	1923	2886
YDR426C	IV	1321629	1322006	-	378	11
YDR521W	IV	1483141	1483476	+	336	0
YDR086C	IV	616928	617170	-	243	2339
YDL021W	IV	413953	414888	+	936	1131
YDR023W	IV	489508	490896	+	1389	14934
YDR394W	IV	1261681	1262967	+	1287	6301
YDR320C-A	IV	1108280	1108498	-	219	400
YDR003W-A	IV	454782	454904	+	123	249
YDR183W	IV	829585	830277	+	693	482
YDR245W	IV	952800	953981	+	1182	2807
YDR431W	IV	1328390	1328701	+	312	1
YDL154W	IV	178334	181039	+	2706	639
YDL184C	IV	130407	130484	-	78	2047
YDR153C	IV	766736	767971	-	1236	2381
YDR014W-A	IV	477797	478285	+	489	111
YDR434W	IV	1331237	1332841	+	1605	2728
YDL002C	IV	446967	447578	-	612	975
YDR225W	IV	915530	915928	+	399	9967
YDR418W	IV	1301616	1302113	+	498	15513
YDR224C	IV	914317	914712	-	396	9975
YDR502C	IV	1453310	1454464	-	1155	4471
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	6995
YDL039C	IV	381985	384081	-	2097	2515
YDL225W	IV	52445	54100	+	1656	3267
YDR259C	IV	974631	975782	-	1152	403
YDR495C	IV	1438115	1441150	-	3036	1344
YDL151C	IV	183318	183899	-	582	4
YDR357C	IV	1189199	1189567	-	369	522
YDR370C	IV	1217782	1219110	-	1329	822
YDR298C	IV	1058176	1058814	-	639	3132
YDR276C	IV	1013476	1013643	-	168	3604
YDL185C-A	IV	126608	126835	-	228	8
YDR545C-A	IV	1530863	1531342	-	480	0
tM(CAU)D	IV	1175829	1175901	+	73	1
YDL247W	IV	5985	7814	+	1830	12
YDR406W	IV	1279210	1283799	+	4590	2514
YDR273W	IV	1010176	1011273	+	1098	149
YDR269C	IV	1005665	1005988	-	324	1
YDR453C	IV	1365072	1365662	-	591	1531
YDR383C	IV	1239960	1240676	-	717	444
YDR375C	IV	1225166	1226536	-	1371	1198
YDL161W	IV	167714	169078	+	1365	2519
YDL051W	IV	363952	364779	+	828	5121
YDR084C	IV	613405	614004	-	600	1213
YDL056W	IV	352877	355378	+	2502	2549
YDR344C	IV	1162006	1162449	-	444	57
YDR320C	IV	1106095	1108101	-	2007	2367
YDR221W	IV	907330	909438	+	2109	2291
tI(AAU)D	IV	668007	668080	-	74	0
YDL032W	IV	393690	394001	+	312	4
YDR456W	IV	1367485	1369386	+	1902	2458
YDL036C	IV	387513	388901	-	1389	1165
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	4
YDL217C	IV	67983	68606	-	624	645
snR63	IV	323217	323471	-	255	2724
YDR334W	IV	1135932	1140476	+	4545	4607
YDL049C	IV	365068	365874	-	807	564
YDL164C	IV	164987	167254	-	2268	1737
YDR384C	IV	1241204	1242031	-	828	1077
YDR149C	IV	755555	756262	-	708	8
YDR093W	IV	631282	636120	+	4839	6616
YDR071C	IV	588827	589402	-	576	3344
YDL143W	IV	199996	201582	+	1587	8238
YDR032C	IV	504099	504695	-	597	4683
tR(UCU)D	IV	568882	568953	+	72	0
YDR063W	IV	578663	579112	+	450	1197
YDL166C	IV	163449	164042	-	594	925
YDR004W	IV	455201	456583	+	1383	891
YDR151C	IV	764178	765155	-	978	1501
YDR037W	IV	525440	527215	+	1776	23548
YDL175C	IV	144484	145518	-	1035	795
YDR286C	IV	1035231	1035575	-	345	192
YDR172W	IV	808324	810381	+	2058	14989
YDL174C	IV	145826	147589	-	1764	5626
YDR080W	IV	604008	606986	+	2979	1746
YDR503C	IV	1455042	1455866	-	825	580
YDR069C	IV	584939	587719	-	2781	1625
YDR047W	IV	551860	552948	+	1089	1820
YDR215C	IV	894089	894502	-	414	31
YDR267C	IV	1002510	1003502	-	993	644
YDR142C	IV	740473	741600	-	1128	1014
YDL212W	IV	78426	79058	+	633	3612
YDR249C	IV	958681	959802	-	1122	653
YDL209C	IV	86207	87226	-	1020	407
YDR044W	IV	546642	547628	+	987	4228
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	11
YDR311W	IV	1085065	1086993	+	1929	2456
YDL159C-B	IV	173056	173232	-	177	0
YDR222W	IV	910054	911301	+	1248	950
YDR510C-A	IV	1469695	1469811	-	117	4
YDR401W	IV	1272223	1272786	+	564	49
YDR207C	IV	865012	867522	-	2511	2007
YDL005C	IV	441014	442309	-	1296	1723
YDR295C	IV	1052623	1054647	-	2025	1671
YDR543C	IV	1524634	1524933	-	300	0
YDL208W	IV	87512	87982	+	471	3136
YDR135C	IV	723004	727551	-	4548	14052
YDL114W	IV	255604	256530	+	927	47
YDR247W	IV	956013	957398	+	1386	2675
YDL197C	IV	104917	106494	-	1578	1377
YDR229W	IV	924785	926146	+	1362	1890
YDR095C	IV	636117	636527	-	411	8
YDR027C	IV	494649	497318	-	2670	1693
YDL106C	IV	270222	271901	-	1680	1658
YDR404C	IV	1276654	1277169	-	516	1580
YDR256C	IV	968133	969680	-	1548	112
YDR518W	IV	1478608	1480161	+	1554	3076
YDR055W	IV	563527	564861	+	1335	12828
YDL087C	IV	300214	300999	-	786	729
YDR177W	IV	816878	817525	+	648	1747
YDL014W	IV	427364	428347	+	984	8492
YDR289C	IV	1038280	1039509	-	1230	1092
YDL159W	IV	172481	174028	+	1548	1056
YDR532C	IV	1499396	1500553	-	1158	585
YDR137W	IV	728259	730250	+	1992	1926
YDL153C	IV	181186	183018	-	1833	2424
YDR393W	IV	1259901	1261271	+	1371	1100
YDR506C	IV	1459728	1461554	-	1827	854
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	780
YDL090C	IV	295034	296329	-	1296	761
YDR033W	IV	508147	509109	+	963	21176
YDR035W	IV	521816	522928	+	1113	7981
YDR332W	IV	1131001	1133070	+	2070	1379
YDR510W	IV	1469400	1469705	+	306	3020
YDL055C	IV	355674	356759	-	1086	26816
YDR480W	IV	1417399	1418370	+	972	650
YDL103C	IV	275148	276581	-	1434	2841
YDL085C-A	IV	302464	302670	-	207	439
YDR350C	IV	1176120	1178174	-	2055	2273
YDR342C	IV	1154216	1155928	-	1713	4476
YDR087C	IV	617470	618306	-	837	1401
YDL236W	IV	32296	33234	+	939	2454
YDR012W	IV	471853	472941	+	1089	11285
YDL121C	IV	245133	245582	-	450	1447
YDR525W-A	IV	1490596	1490835	+	240	664
tG(GCC)D2	IV	992832	992902	+	71	66
YDL190C	IV	118707	121592	-	2886	4174
YDL047W	IV	369771	370706	+	936	2659
YDR099W	IV	653607	654428	+	822	9029
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	1438
YDR164C	IV	782041	784215	-	2175	2157
YDR058C	IV	567723	568703	-	981	541
YDL020C	IV	415113	416708	-	1596	4571
YDL025C	IV	405344	407206	-	1863	4006
YDR374C	IV	1223474	1224394	-	921	18
YDL207W	IV	88248	89864	+	1617	1665
YDR270W	IV	1005675	1008689	+	3015	1167
YDR152W	IV	765706	766503	+	798	2245
YDL148C	IV	188154	190586	-	2433	4482
tI(UAU)D	IV;IV	884361;884458	884397;884493	+;+	73	23
YDR379C-A	IV	1233278	1233517	-	240	339
YDR218C	IV	903781	905052	-	1272	57
YDL018C	IV	422833	423510	-	678	745
YDR507C	IV	1462358	1465786	-	3429	4509
YDL003W	IV	444683	446383	+	1701	853
YDR524C-B	IV	1489598	1489798	-	201	9846
YDR371W	IV	1219413	1220948	+	1536	786
YDR359C	IV	1191936	1194884	-	2949	2361
YDL180W	IV	135896	137539	+	1644	1340
YDL133W	IV	222427	223740	+	1314	1575
YDR335W	IV	1141168	1144842	+	3675	5926
YDR351W	IV	1178666	1181260	+	2595	2986
YDL150W	IV	183343	184611	+	1269	2124
YDL177C	IV	141209	141721	-	513	234
YDR171W	IV	806621	807748	+	1128	5905
YDR364C	IV	1202843	1204210	-	1368	1032
YDR309C	IV	1079048	1080199	-	1152	1327
YDL239C	IV	26403	28775	-	2373	667
YDL228C	IV	45277	45918	-	642	29
YDL156W	IV	174918	176486	+	1569	559
YDL016C	IV	425570	425872	-	303	342
tX(XXX)D	IV	1150842	1150941	-	100	1
YDR524W-C	IV	1489403	1489492	+	90	7
YDL085W	IV	303211	304848	+	1638	373
YDR300C	IV	1061505	1062791	-	1287	2183
YDL168W	IV	159604	160764	+	1161	2902
YDR360W	IV	1194598	1195032	+	435	2
YDR195W	IV	848599	850200	+	1602	943
YDR321W	IV	1108702	1109847	+	1146	5126
YDR237W	IV	936615	937493	+	879	1288
YDL127W	IV	234927	235853	+	927	818
YDR107C	IV	669016	671034	-	2019	1411
YDR472W	IV	1403322	1404173	+	852	1408
YDL030W	IV	397537	399129	+	1593	699
YDR468C	IV	1398026	1398700	-	675	1005
YDL084W	IV	305237	306577	+	1341	15663
YDL203C	IV	96082	97953	-	1872	1511
YDL025W-A	IV	405410	405514	+	105	0
YDR285W	IV	1032436	1035063	+	2628	584
YDL229W	IV	44065	45906	+	1842	44738
YDR329C	IV	1126270	1127595	-	1326	2565
YDR034C	IV	509737	512109	-	2373	1959
YDR009W	IV	463434	464996	+	1563	317
tS(AGA)D2	IV	980974	981055	-	82	0
YDR488C	IV	1429188	1430789	-	1602	963
YDR103W	IV	658350	661103	+	2754	2996
YDR336W	IV	1145092	1146036	+	945	576
YDL101C	IV	280307	281848	-	1542	702
YDR162C	IV	780390	781100	-	711	736
YDR312W	IV	1087581	1088942	+	1362	980
YDL061C	IV	340628	340798	-	171	3621
YDL040C	IV	378874	381438	-	2565	8287
YDR145W	IV	746738	748357	+	1620	2599
YDR124W	IV	700315	701289	+	975	993
YDL231C	IV	38867	42244	-	3378	3113
YDR190C	IV	840604	841995	-	1392	4254
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	1896
YDR463W	IV	1386816	1388375	+	1560	2694
YDR491C	IV	1434500	1434991	-	492	10
YDR449C	IV	1357580	1358902	-	1323	1284
YDL035C	IV	389172	392057	-	2886	3608
YDR074W	IV	593893	596583	+	2691	23022
YDR525W	IV	1489905	1490234	+	330	12
YDR257C	IV	969990	971474	-	1485	1408
YDR402C	IV	1272234	1273703	-	1470	86
YDR450W	IV;IV	1359923;1360405	1359969;1360798	+;+	441	12923
YDR376W	IV	1226822	1228303	+	1482	1860
YDR161W	IV	779043	780206	+	1164	2211
YDR090C	IV	625066	625998	-	933	618
YDR189W	IV	838392	840392	+	2001	3966
YDR524C	IV	1487542	1488990	-	1449	1497
YDL237W	IV	30657	31829	+	1173	2935
YDR188W	IV	836421	838061	+	1641	9886
YDL133C-A	IV	221724	221801	-	78	1459
YDR531W	IV	1498232	1499335	+	1104	1665
tG(GCC)D1	IV	83548	83618	+	71	0
YDR226W	IV	916486	917154	+	669	9404
YDL054C	IV	359825	361285	-	1461	1659
YDL205C	IV	92762	93745	-	984	1819
YDR537C	IV	1510856	1511461	-	606	5
